iso3,year,crisis_next_12m,banking_crisis_next_12m,debt_crisis_next_12m,crisis_any,banking_crisis,currency_crisis,debt_crisis,inflation,gdp_growth,unemployment,real_interest_rate_10y
AGO,1960.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1961.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1962.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1963.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1964.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1965.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1966.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1967.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1968.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1969.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1970.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1971.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1972.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1973.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1974.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1975.0,1.0,0.0,1.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1976.0,0.0,0.0,0.0,1,0,0,1,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1977.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1978.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1979.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1980.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1981.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,-4.40000121865036,1.343694642079186,6.9346889958333335
AGO,1982.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,0.0,1.343694642079186,6.9346889958333335
AGO,1983.0,0.0,0.0,0.0,0,0,0,0,1.6122246691011606,4.20000142853753,1.343694642079186,5.888257380833333
AGO,1984.0,1.0,0.0,1.0,0,0,0,0,1.6122246691011606,6.00000216509056,1.343694642079186,6.6373992375
AGO,1985.0,1.0,0.0,1.0,1,0,0,1,1.6122246691011606,3.49999949008608,1.4296866939963488,5.660392525833333
AGO,1986.0,1.0,0.0,1.0,1,0,0,1,1.6122246691011606,2.90000174246853,1.8655226248103882,4.048303089166667
AGO,1987.0,1.0,0.0,1.0,1,0,0,1,1.6122246691011606,4.08274863510731,1.8914501692285504,4.218014031666667
AGO,1988.0,1.0,0.0,1.0,1,0,0,1,1.6122246691011606,6.12889047765088,1.9170826606870897,4.452901190833333
AGO,1989.0,1.0,0.0,1.0,1,0,0,1,1.6122246691011606,0.0416214618373516,1.942427198695996,4.4047298725
AGO,1990.0,1.0,0.0,1.0,1,0,0,1,1.6122246691011606,-3.45009868500237,1.9674906241807821,4.3208969375
AGO,1991.0,1.0,1.0,1.0,1,0,0,1,1.6122246691011606,0.991359302044742,1.9922795320173763,3.9339278958333335
AGO,1992.0,1.0,1.0,1.0,1,1,0,1,2.727496194766731,-5.83828073313154,2.016800282812056,3.38244437
AGO,1993.0,1.0,1.0,1.0,1,1,0,1,4.343517668796928,-23.9834174420578,2.041059013980513,2.7144275875
